Company Name,Address,City,State,ZIP Code,County,Neighborhood,Phone Number Combined,Website,Primary SIC Description,SIC Code 1,Cuisine Code Description,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close,Twitter,Facebook,Record Type,WhatTypes,Rating
El Pollo Loco,16940 Nordhoff St,Northridge,CA,91343,Los Angeles,Northridge,(818) 895-1680,Elpolloloco.Com,,581208,MEXICAN,1000,2230,1000,2230,1000,2230,1000,2230,1000,2230,1000,2230,http://twitter.com/elpolloloco,http://www.facebook.com/pages/el-pollo-loco/113894788632250,Verified,Restaurants,2.83
Soleil Westwood,1386 Westwood Blvd,Los Angeles,CA,90024,Los Angeles,Westwood,(310) 441-5384,Soleilwestwood.Com,,581208,FRENCH,1430,2200,1430,2200,1430,2200,1430,2200,1000,2200,1000,2200,http://twitter.com/soleilwestwood,http://www.facebook.com/pages/soleil-westwood/189013951134016,Verified,,3.54
L A Hookah Tropical,18112 Parthenia St # A,Northridge,CA,91325,Los Angeles,Northridge South,Not Available,,,581255,,,,,,,,,,,,,,,,Verified,,4.09
Koi Pond Lounge,101 Wilshire Blvd,Santa Monica,CA,90401,Los Angeles,Wilshire-Montana,(310) 576-7777,,,581303,,,,,,,,,,,,,,http://twitter.com/fairmontwhistlr,http://www.facebook.com/fairmontscottsdale,Verified,Sightseeing,3.06
Baja Fresh Westlake Village,30861 E Thousand Oaks Blvd,Westlake Village,CA,91362,Los Angeles,,(818) 900-1846,,,581208,,,,,,,,,,,,,,,,Verified,Sightseeing,2.55
Burrito Factory,1902 S Pacific Ave,San Pedro,CA,90731,Los Angeles,Coastal San Pedro,(310) 547-9001,Lunabellaspedro.Com,,581208,MEXICAN,1100,2100,1100,2100,1100,2100,900,2100,900,2100,900,2100,http://twitter.com/burritosp,http://www.facebook.com/burritofactorysp,Verified,Restaurants,3.60
SUBWAY,1165 Westwood Blvd,Los Angeles,CA,90024,Los Angeles,Westwood Village,(310) 208-7774,Subway.Com,,581208,DELI,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://twitter.com/subway,http://www.facebook.com/subway,Verified,Restaurants,2.85
California Art Painting,1218 Edith Ave # G,Alhambra,CA,91803,Los Angeles,Alhambra,Not Available,,,841210,,,,,,,,,,,,,,,,Verified,Sightseeing,3.32
Boba Loca Van Nuys,6411 Sepulveda Blvd # 1u,Van Nuys,CA,91411,Los Angeles,Van Nuys,(818) 989-1054,Bobaloca.Com,,581228,,1000,2200,1000,Open 24 Hours,1000,Open 24 Hours,1000,2200,1000,Open 24 Hours,1000,Open 24 Hours,,https://www.facebook.com/pages/boba-loca-van-nuys/153516871349071,Verified,,4.19
Winchell's,3501 Slauson Ave,Maywood,CA,90270,Los Angeles,Maywood,(323) 582-6523,Winchells.Com,,546105,,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://www.twitter.com/winchellsdonuts,http://www.facebook.com/pages/winchells-donut-house/62696235895,Verified,Restaurants,3.49
Applebee's,21 E Main St,Alhambra,CA,91801,Los Angeles,Alhambra,(626) 576-4621,Applebees.Com,,581208,STEAK HOUSES,1100,Open 24 Hours,1100,Open 24 Hours,1100,Open 24 Hours,1100,100,1100,100,1000,Open 24 Hours,http://twitter.com/applebees,http://www.facebook.com/applebees,Verified,Restaurants,4.68
Charleys Philly Steaks,14006 Riverside Dr # Fc8,Sherman Oaks,CA,91423,Los Angeles,Sherman Oaks,(818) 817-0667,Charleys.Com,,581208,AMERICAN,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1100,1900,http://twitter.com/charleys,http://www.facebook.com/144354609065579,Verified,Restaurants,5.78
Pacific Island Ethnic Art Msm,695 Alamitos Ave,Long Beach,CA,90802,Los Angeles,Downtown Long Beach,(562) 216-4170,Pieam.Org,,841201,,Closed,,1100,1700,1100,1700,1100,1700,1100,1700,1100,1700,,https://www.facebook.com/pieam,Verified,Sightseeing,1.63
Chuck E Cheese's,25955 The Old Rd,Stevenson Ranch,CA,91381,Los Angeles,,(661) 260-1280,Chuckecheese.Com,,581222,,1100,2100,1100,2100,1100,2100,1100,2200,1000,2200,1100,2100,http://twitter.com/chuckecheeses/,http://www.facebook.com/officialchuckecheeses/,Verified,Sightseeing,3.78
Yum Yum Donuts,14425 Sherman Way,Van Nuys,CA,91405,Los Angeles,Van Nuys,(818) 989-7074,Yumyumdonuts.Com,,546105,,,,,,,,,,,,,,,,Verified,Restaurants,3.21
Tacone,950 S Flower St # 105,Los Angeles,CA,90015,Los Angeles,South Park,(213) 236-0951,,,581212,,,,,,,,,,,,,,,,Verified,,4.66
WA Ba Grill,10840 Garfield Ave # 102,South Gate,CA,90280,Los Angeles,South Gate,(562) 291-0925,Locations.Wabagrill.Com,,581208,FUSION,800,2300,800,2300,800,2300,800,2300,800,2300,800,2300,https://twitter.com/wabagrill,https://www.facebook.com/wabagrillofficial,Verified,Restaurants,4.69
Ysabel,945 N Fairfax Ave,West Hollywood,CA,90046,Los Angeles,West Hollywood,(323) 366-2940,Ysabel.La,,581208,,1800,200,1800,200,1800,200,1800,200,1100,200,1100,200,,,Verified,,5.57
Which WICH Superior Sandwiches,3584 S Figueroa St # 2,Los Angeles,CA,90007,Los Angeles,,(213) 747-9424,Locations.Whichwich.Com,,581208,DELI,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,,,Verified,Restaurants,2.36
El Rincon Cubano Restaurant,5424 Laurel Canyon Blvd,Valley Village,CA,91607,Los Angeles,Valley Village,(818) 763-6272,Kingtskustoms.Com,,581208,MEXICAN,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,,http://www.facebook.com/kingtskustoms,Verified,Restaurants,3.74
Mrs Sippee,1045 Blaine St,Los Angeles,CA,90015,Los Angeles,Pico Union,(213) 748-1612,Mrssippeela.Com,,581208,,,,,,,,,,,,,,,,Verified,,4.15
LA Pizza Loca,11806 Valley Blvd,El Monte,CA,91732,Los Angeles,Mountain View,(626) 448-5944,Lapizzaloca.Com,,581222,,,,,,,,,,,,,,,,Verified,Restaurants,2.83
Mr Tortilla Inc,6258 Peach Ave,Van Nuys,CA,91411,Los Angeles,Van Nuys,Not Available,,,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Restaurants,1.17
El Texanito,4501 S Alameda St,Vernon,CA,90058,Los Angeles,Central Alameda,(323) 233-2261,Usd.Zeroredirect11.Com,,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Restaurants,5.71
WA Ba Grill,11123 Long Beach Blvd # 12,Lynwood,CA,90262,Los Angeles,Lynwood,(310) 637-9222,Wabagrill.Com,,581208,,930,2230,930,2230,930,2230,930,2230,930,2230,930,2230,http://twitter.com/wabagrill,https://www.facebook.com/744305728970773,Verified,Restaurants,4.53
Family Mexican-Soul Food,6300 S Figueroa St,Los Angeles,CA,90003,Los Angeles,,(323) 826-8943,Orderthefamilymexicansoulfoodrestaurant.,,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Restaurants,2.46
Tom's 1 Burgers,201 W Anaheim St,Wilmington,CA,90744,Los Angeles,Wilmington,(310) 830-8841,Tomschiliburgers.Com,,581208,BURGERS,600,Open 24 Hours,600,Open 24 Hours,600,Open 24 Hours,600,100,600,100,600,Open 24 Hours,,https://www.facebook.com/pages/toms-1-world-famous-chiliburgers-wilmington/218992461460855,Verified,Restaurants,5.81
Sinclair LA,2208 W 8th St,Los Angeles,CA,90057,Los Angeles,Macarthur Park,(213) 805-6250,Hugedomains.Com,,651303,,900,1800,900,1800,900,1800,900,1800,Closed,,Closed,,,https://www.facebook.com/pages/william-penn-apartment-homes/751949554918489,Verified,Restaurants,5.73
America's Cafe & Bakery,3654 Slauson Ave,Maywood,CA,90270,Los Angeles,Maywood,(323) 582-1587,Americascafebakery.Com,,581208,BAKERY,,,,,,,,,,,,,,http://www.facebook.com/pages/americas-cake-bakery/458026900898327,Verified,Restaurants,3.24
IHOP Restaurant,8600 S Sepulveda Blvd,Los Angeles,CA,90045,Los Angeles,Westchester,(310) 410-4457,Restaurants.Ihop.Com,,581208,AMERICAN,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,,http://www.facebook.com/ihop,Verified,Restaurants,1.89
Tacos Guadalajara,15259 Parthenia St,North Hills,CA,91343,Los Angeles,North Hills East,Not Available,,,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Restaurants,3.32
Marathon Ethiopian Restaurant,1043 S Fairfax Ave,Los Angeles,CA,90019,Los Angeles,Carthay Square,(323) 938-4243,Ethiola3.Com,,581208,AFRICAN,,,,,,,,,,,,,,,Verified,Restaurants,4.54
Carl's Jr,2100 E Carson St,Long Beach,CA,90807,Los Angeles,Bixby Knolls,(562) 492-9984,Carlsjr.Com,,581208,BURGERS,600,Open 24 Hours,600,Open 24 Hours,600,Open 24 Hours,600,100,600,100,600,Open 24 Hours,https://twitter.com/carlsjr,https://www.facebook.com/carlsjr1100159?sk=page_map,Verified,Restaurants,2.91
Defrankos Inc,7532 Woodley Ave,Van Nuys,CA,91406,Los Angeles,Lake Balboa,(818) 780-9556,Rsvpwest.Net,,581208,,1030,1900,1030,1900,1030,1900,1030,1900,1030,1700,Closed,,,http://www.facebook.com/pages/defrankos-italian-sandwiches/100522133342718,Verified,,1.47
Dacha,1219 Highland Ave,Manhattan Beach,CA,90266,Los Angeles,Downtown Manhattan Beach,(310) 545-8990,,,581228,,1100,1800,1100,1800,1100,1800,1100,1800,1100,1800,Closed,,,https://www.facebook.com/dachainteriors,Verified,,5.32
Corita Art Ctr,5515 Franklin Ave,Los Angeles,CA,90028,Los Angeles,Hollywood Hills,(323) 450-4650,Corita.Org,,841201,,1000,1600,1000,1600,1000,1600,1000,1600,Closed,,Closed,,https://twitter.com/coritaartcenter,https://www.facebook.com/coritaartcenter,Verified,Sightseeing,1.15
Peter Alexander,1811 16th St,Santa Monica,CA,90404,Los Angeles,Pico,(310) 392-1359,Peteralexander.Com,,841210,,,,,,,,,,,,,,,,Verified,,1.34
Golden Road,5410 W San Fernando Rd,Los Angeles,CA,90039,Los Angeles,,(818) 243-2337,Goldenroad.La,,581208,BISTRO,Closed,,1100,200,1100,200,1100,200,Closed,,Closed,,http://twitter.com/goldenroadbrew,https://www.facebook.com/goldenroadbrew,Verified,,4.00
Lisa's Bon Appetit Inc,3535 Lomita Blvd # C,Torrance,CA,90505,Los Angeles,,(310) 784-1070,Lisasbonappetit.Com,,581212,,800,1800,800,1800,800,1800,800,1800,900,1500,900,1500,,https://www.facebook.com/lisasbonappetit,Verified,,2.26
Pizza Hut,1428 W Glenoaks Blvd,Glendale,CA,91201,Los Angeles,Grandview,(818) 241-1900,Pizzahut.Com,,581222,,1030,Open 24 Hours,1030,Open 24 Hours,1030,Open 24 Hours,1000,100,1000,100,1000,Open 24 Hours,http://twitter.com/pizzahut,http://www.facebook.com/pizzahut,Verified,Restaurants,1.92
Wing Street,1428 W Glenoaks Blvd,Glendale,CA,91201,Los Angeles,Grandview,(818) 241-1900,Order.Pizzahut.Com,,581208,BARBECUE,,,,,,,,,,,,,http://twitter.com/wingstreet,,Verified,Restaurants,5.35
Fantastic Burgers,3400 Cherry Ave,Long Beach,CA,90807,Los Angeles,Long Beach Municipal Airport,(562) 490-2777,,,581208,BURGERS,,,,,,,,,,,,,,,Verified,Restaurants,1.43
Douglas Drive-In No 12,5181 Long Beach Blvd,Long Beach,CA,90805,Los Angeles,Sutter,(562) 423-0416,Douglasburgers23.Com,,581208,,,,,,,,,,,,,,,,Verified,Restaurants,4.15
Tom's Burgers,1501 W Olympic Blvd,Montebello,CA,90640,Los Angeles,Montebello,(323) 722-1051,Tomsburgersmob.Com,,581208,BURGERS,700,2145,700,2145,700,2145,700,2145,700,2145,800,2145,https://twitter.com/tomsburger,https://www.facebook.com/pages/toms-burgers-of-montebello/130778890325375,Verified,Restaurants,4.34
Maria's Italian Kitchen Corp,16535 Arminta St,Van Nuys,CA,91406,Los Angeles,Lake Balboa,(818) 786-4833,Mariasitaliankitchen.Com,,581208,ITALIAN,,,,,,,,,,,,,http://twitter.com/mariaskitchenla,http://www.facebook.com/mariaskitchenla,Verified,Restaurants,5.87
Carrows Restaurant,815 Fremont Ave,South Pasadena,CA,91030,Los Angeles,South Pasadena,(626) 799-0561,Carrows.Com,,581208,AMERICAN,600,Open 24 Hours,600,Open 24 Hours,600,Open 24 Hours,600,300,600,300,600,Open 24 Hours,http://twitter.com/carrowstweets,http://www.facebook.com/carrowsrestaurant,Verified,Restaurants,5.66
Starbucks,5020 Wilshire Blvd,Los Angeles,CA,90036,Los Angeles,Greater Wilshire,(323) 936-2989,Starbucks.Com,,581228,,500,2100,500,2100,500,2100,500,2130,600,2130,Closed,,http://twitter.com/starbucks,http://www.facebook.com/starbucks,Verified,Restaurants,4.36
Spain Restaurant,1866 Glendale Blvd,Los Angeles,CA,90026,Los Angeles,Silver Lake,(323) 667-9045,Restaurantspain.Net,,581208,SPANISH,Closed,,Closed,,Closed,,1100,2100,1100,2100,Closed,,,,Verified,Restaurants,3.98
Big Fish Market,8409 S 8th Ave # E,Inglewood,CA,90305,Los Angeles,Morningside Park,(323) 750-6000,,,542101,,,,,,,,,,,,,,,,Verified,,2.17
Al Chile Pelon Mexican Food,4565 Artesia Blvd,Lawndale,CA,90260,Los Angeles,Lawndale,(310) 542-6966,,,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Restaurants,4.19
El Torito,3333 E Foothill Blvd,Pasadena,CA,91107,Los Angeles,,(626) 351-8995,Eltorito.Com,,581208,MEXICAN,1100,2200,1100,2200,1100,2200,1100,2300,1100,2300,900,2200,http://twitter.com/eltorito,http://www.facebook.com/eltoritorestaurants,Verified,Restaurants,2.59
Taco Bell,103 S Rampart Blvd,Los Angeles,CA,90057,Los Angeles,Echo Park,(213) 386-9012,Tacobell.Com,,581208,MEXICAN,700,200,700,200,700,200,700,400,700,400,700,200,http://twitter.com/tacobell,http://www.facebook.com/tacobell,Verified,Restaurants,3.50
Alford's English Gardens Inc,1840 E 29th St,Signal Hill,CA,90755,Los Angeles,Central Signal Hill,(562) 997-4111,Alfordsenglishgardens.Com,,78204,,700,1530,700,1530,700,1530,700,1530,Closed,,Closed,,https://twitter.com/alfordsgardens,https://www.facebook.com/alfordsenglishgardens,Verified,,3.08
Little Mexico Seafood Rstrnt,4937 Whittier Blvd,Los Angeles,CA,90022,Los Angeles,East Los Angeles,(323) 780-9848,Littlemexicorestaurant.Com,,581208,SEAFOOD,900,2200,800,2200,800,2200,800,2200,900,2300,800,2300,,http://www.facebook.com/pages/little-mexico-seafood-restaurant/120632001281227,Verified,Restaurants,3.40
Pizza Pirates,2092 S Garey Ave,Pomona,CA,91766,Los Angeles,,(909) 590-1700,Pizzapirates.Net,,581222,,1000,2200,1000,2200,1000,2200,1000,2300,1000,2300,1000,2200,http://twitter.com/pizzapirates,http://www.facebook.com/pizzapirates,Verified,Restaurants,3.49
Wisdom Arts Laboratory,520 E Orange Grove Blvd,Pasadena,CA,91104,Los Angeles,The Oaks,(626) 318-0897,Abiraali.Com,,841203,,,,,,,,,,,,,,,,Verified,Sightseeing,1.35
Flame Broiler,909 N Pacific Coast Hwy # 145,El Segundo,CA,90245,Los Angeles,El Segundo,(310) 322-2175,Flamebroilerusa.Com,,581208,ASIAN,1000,1700,1000,1700,1000,1700,1000,1700,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://twitter.com/theflamebroiler,http://www.facebook.com/theflamebroiler,Verified,Restaurants,4.32
Cold Stone Creamery,2112 E Florence Ave,Huntington Park,CA,90255,Los Angeles,Florence-Graham,(323) 585-8796,Coldstonecreamery.Com,,581203,,1100,2200,1100,2200,1100,2200,1100,2230,1100,2230,1100,2200,http://twitter.com/coldstone,http://www.facebook.com/826433644125400,Verified,Restaurants,3.60
Beatnik Cafe,3405 Via Dolce,Marina Del Rey,CA,90292,Los Angeles,,(310) 985-0748,Beatnikcafe.Com,,581208,,,,,,,,,,,,,,,,Verified,Restaurants,5.02
Four Points By Sheraton Los,9750 Airport Blvd,Los Angeles,CA,90045,Los Angeles,,(310) 645-4600,Marriott.Com,,701101,,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,,http://facebook.com/fourpointslax,Verified,Hotels,1.81
Agra Indian Kitchen,2553 Lincoln Blvd,Venice,CA,90291,Los Angeles,Venice,(310) 827-0050,Agraindiankitchen.Com,,581208,INDIAN,1130,2230,1130,2230,Closed,,1130,2230,1230,2230,1230,2230,http://twitter.com/indiankitchen1,http://www.facebook.com/pages/agra-indian-kitchen/154359987938428,Verified,Restaurants,2.88
Indian Kitchen West Hollywod,8165 Santa Monica Blvd,West Hollywood,CA,90046,Los Angeles,West Hollywood,(323) 656-9000,Theindiankitchenca.Com,,581208,INDIAN,1115,2215,1115,2215,1115,2215,1100,1015,1230,2215,1230,2215,http://twitter.com/indiankitchen1,http://www.facebook.com/theindiankitchen,Verified,Restaurants,3.48
Two For One Pizza,6726 Lankershim Blvd,North Hollywood,CA,91606,Los Angeles,Mid-Town North Hollywood,(818) 503-1011,,,581222,,,,,,,,,,,,,,,,Verified,Restaurants,2.08
Everest Indian-Chinese Cuisine,20844 Vanowen St,Winnetka,CA,91306,Los Angeles,Winnetka,Not Available,,,581208,,,,,,,,,,,,,,,,Verified,Restaurants,3.60
Taste-Bombay Indian & Chinese,20861 Lassen St,Chatsworth,CA,91311,Los Angeles,Chatsworth,Not Available,Zabihah.Com,,581208,CHINESE,,,,,,,,,,,,,,,Verified,Restaurants,1.28
LA Fogata Mexican Restaurant,5142 Van Nuys Blvd,Sherman Oaks,CA,91403,Los Angeles,Sherman Oaks,(818) 501-9065,Vivalafogata.Com,,581208,MEXICAN,800,2130,800,2130,800,2130,800,2200,800,2200,800,2130,http://twitter.com/vivalafogata,https://www.facebook.com/vivalafogata,Verified,Restaurants,5.66
Wendy's,19018 Soledad Canyon Rd,Canyon Country,CA,91351,Los Angeles,,(661) 250-7825,Cottiefood.Com,,581208,BURGERS,900,Open 24 Hours,900,Open 24 Hours,900,Open 24 Hours,900,Open 24 Hours,900,1300,900,1300,,,Verified,Restaurants,2.36
Via Firenze,4485 Torrance Blvd,Torrance,CA,90503,Los Angeles,,(310) 371-9555,Aliottas.Com,,581208,ITALIAN,1100,2100,1100,2100,1100,2100,1100,2145,1700,2200,1600,2100,,http://www.facebook.com/aliottasviafirenze,Verified,Restaurants,1.83
California Fresh,2000 Westwood Blvd,Los Angeles,CA,90025,Los Angeles,Westside,(310) 234-0333,Californiafreshla.Com,,581222,,,,,,,,,,,,,,,http://www.facebook.com/californiafreshla,Verified,Restaurants,2.70
Togo's,312 E Huntington Dr # B9,Arcadia,CA,91006,Los Angeles,Arcadia,(626) 447-8646,Togos.Com,,581208,DELI,1000,2000,1000,2000,1000,2000,1000,2000,1030,1900,1030,1900,http://www.twitter.com/togossandwiches,http://www.facebook.com/1523002284618697,Verified,Restaurants,3.20
Baskin-Robbins,603 E University Dr # A,Carson,CA,90746,Los Angeles,,(310) 538-0112,Baskinrobbins.Com,,581203,,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://twitter.com/baskinrobbins,http://www.facebook.com/baskinrobbins,Verified,Restaurants,2.86
Baskin-Robbins,1423 W Redondo Beach Blvd,Gardena,CA,90247,Los Angeles,Gardena,(310) 532-3353,Baskinrobbins.Com,,581203,,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,http://twitter.com/baskinrobbins,http://www.facebook.com/baskinrobbins,Verified,Restaurants,1.50
Restaurant Maestro,325 1/2 N Verdugo Rd,Glendale,CA,91206,Los Angeles,Citrus Grove,(818) 500-9847,,,546102,,,,,,,,,,,,,,,,Verified,Restaurants,1.77
Le Pain Quotidien,175 N Indian Hill Blvd # 103a,Claremont,CA,91711,Los Angeles,Village,(909) 625-1609,Lepainquotidien.Com,,581208,BAKERY,,,,,,,,,,,,,http://twitter.com/lepainquotidien,http://www.facebook.com/lepainquotidien,Verified,,5.22
Thai BBQ,8251 Woodman Ave,Panorama City,CA,91402,Los Angeles,Panorama City,(818) 780-0450,Originalthaibbq.Com,,581208,THAI,,,,,,,,,,,,,,,Verified,Restaurants,5.26
Las Bris Restaurant,1969 Artesia Blvd,Redondo Beach,CA,90278,Los Angeles,North Redondo Beach,(310) 376-5884,Lasbrisaslagunabeach.Com,,581208,MEXICAN,800,2200,800,2200,800,2200,800,2300,800,2300,900,2200,,http://www.facebook.com/lasbrisaslagunabeach,Verified,Restaurants,5.16
Robert L Nunley Inc,6245 Hollywood Blvd,Los Angeles,CA,90028,Los Angeles,Hollywood Hills,(323) 469-3303,,,581303,,,,,,,,,,,,,,,,Verified,,4.41
Minibar,6141 Franklin Ave,Los Angeles,CA,90028,Los Angeles,Hollywood Hills,(323) 798-4939,Minibarhollywood.Com,,581301,,1700,Open 24 Hours,1700,Open 24 Hours,1700,Open 24 Hours,1700,200,1900,200,1700,Open 24 Hours,http://twitter.com/minibarhollywd,http://www.facebook.com/minibarhollywood,Verified,Restaurants,4.56
Liquid Bean Coffee House,1711 W Avenue K,Lancaster,CA,93534,Los Angeles,,(661) 942-7591,,,581228,,500,1900,500,1900,500,1900,500,1900,600,1900,600,1700,,https://www.facebook.com/liquidbeancoffeehouse,Verified,Restaurants,5.20
Lucilles Smoke House Rstrnt,6257 E 2nd St,Long Beach,CA,90803,Los Angeles,Seadip,(562) 431-7374,Lucillesbbq.Com,,581208,BARBECUE,1100,2200,1100,2200,1100,2200,1100,2300,1100,2300,1100,2200,,http://www.facebook.com/lucillesbbqbelmontshore,Verified,Restaurants,2.34
Jerry James Inc,10522 Burbank Blvd,North Hollywood,CA,91601,Los Angeles,Mid-Town North Hollywood,(818) 406-4973,,,581301,,,,,,,,,,,,,,,,Verified,,1.08
Learn How To Eat Right,26500 Agoura Rd # 102,Calabasas,CA,91302,Los Angeles,,(310) 903-0784,Eatcleanfeelbetter.Com,,729934,,900,1800,900,1800,900,1800,900,1800,Closed,,Closed,,http://twitter.com/alliemarcusdiet,http://www.facebook.com/alliemarcuswellness,Verified,,4.34
Cousins Catering LLC,336 1/2 S Glendora Ave # M,West Covina,CA,91790,Los Angeles,Walnut Creek,Not Available,,,581212,,,,,,,,,,,,,,,,Verified,,1.85
Starbucks,8999 Balboa Blvd,Northridge,CA,91325,Los Angeles,Northridge,(818) 924-9001,Starbucks.Com,,581228,,800,2100,800,2100,800,2100,800,2200,800,2200,800,2100,http://twitter.com/starbucks,http://www.facebook.com/starbucks,Verified,Restaurants,1.61
Jimmy John's,221 S 5th St,Montrose,CA,91020,Los Angeles,,(970) 240-7908,Jimmyjohns.Com,,581208,DELI,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,,,Verified,Restaurants,0.91
El Taco Naco Mexican Grill,11723 Saticoy St # A,North Hollywood,CA,91605,Los Angeles,North Hollywood North East,Not Available,Donboscocafe.Com,,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Restaurants,4.75
Del Taco,1933 E 223rd St,Carson,CA,90810,Los Angeles,,(310) 847-7191,Deltaco.Com,,581208,MEXICAN,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,http://twitter.com/deltaco,http://www.facebook.com/deltaco,Verified,Restaurants,0.92
Bean There Grind That LLC,9236 Lakewood Blvd,Downey,CA,90240,Los Angeles,Downey,Not Available,,,581228,,,,,,,,,,,,,,,,Verified,Restaurants,2.45
LA Creperie,4911 E 2nd St,Long Beach,CA,90803,Los Angeles,Belmont Shore,(562) 434-8499,Lacreperiecafe.Net,,581208,FRENCH,900,2200,900,2200,900,2200,900,2300,900,2300,900,2200,http://twitter.com/lacreperiecafe,http://www.facebook.com/lacreperie1,Verified,Restaurants,1.28
Carl's Jr,1001 W Martin Luther King Jr B,Los Angeles,CA,90037,Los Angeles,,(323) 766-8290,Carlsjr.Com,,581208,BURGERS,630,2300,630,2300,630,2300,630,1200,630,1200,630,2300,http://twitter.com/carlsjr,,Verified,Restaurants,3.97
Lazeez Pita Grill,4903 Torrance Blvd,Torrance,CA,90503,Los Angeles,,(310) 542-3100,Lazeezpitagrill.Com,,581208,GREEK,,,,,,,,,,,,,,,Verified,Restaurants,5.39
LA Palma Mexican Food,2162 E Palmdale Blvd,Palmdale,CA,93550,Los Angeles,,(661) 575-9530,,,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Restaurants,1.42
Mc Donald's,101 W Manchester Ave,Los Angeles,CA,90003,Los Angeles,Green Meadows,(323) 758-2740,Mcdonalds.Com,,581208,BURGERS,500,2300,500,2300,500,2300,500,2300,500,2300,500,2300,http://twitter.com/mcdonalds,http://www.facebook.com/mcdonaldsus,Verified,Restaurants,5.79
Maria's Hot Dog & Tacos,1415 S Hill St,Los Angeles,CA,90015,Los Angeles,South Park,Not Available,,,581208,AMERICAN,,,,,,,,,,,,,,,Verified,Restaurants,3.07
Lechene French Cuisine,12625 Sierra Hwy,Santa Clarita,CA,91390,Los Angeles,,(661) 251-4315,Lechene.Com,,581208,FRENCH,1630,2100,1630,2100,1630,2100,1630,2130,1630,2130,1100,2100,https://twitter.com/lechenecuisine,https://www.facebook.com/pages/lechene-french-cuisine/106186732746532,Verified,Restaurants,5.38
Original Barrio Fiesta-Manila,818 N Pacific Ave # K,Glendale,CA,91203,Los Angeles,Fremont Park,(818) 552-2855,Barriofiestaglendale.Com,,581208,,1100,2100,1100,2100,1100,2100,1100,2100,1100,2100,1030,2030,,https://www.facebook.com/barriofiestaglendale,Verified,Restaurants,5.78
Conchita's Raspado,14705 Rinaldi St,San Fernando,CA,91340,Los Angeles,Sylmar,(818) 838-1928,,,581203,,,,,,,,,,,,,,,,Verified,Restaurants,1.48
Jugos Y Bionicos Las Frescas,607 E Francisquito Ave,West Covina,CA,91790,Los Angeles,,(626) 918-6025,,,581208,,,,,,,,,,,,,,,,Verified,Restaurants,2.72
Big Burrito,3101 Wabash Ave,Los Angeles,CA,90063,Los Angeles,Boyle Heights,(323) 265-2828,,,581208,MEXICAN,,,,,,,,,,,,,,,Verified,Restaurants,3.95
Elalteno Inc,1200 E 8th St,Los Angeles,CA,90021,Los Angeles,Warehouse District,(213) 623-7815,Elaltenoinc.Com,,514101,,,,,,,,,,,,,,,,Verified,Restaurants,4.14
Herb Alpert's Vibrato Grill,2930 N Beverly Glen Cir,Los Angeles,CA,90077,Los Angeles,,(310) 474-9400,Vibratogrilljazz.Com,,581208,BISTRO,1700,2200,1700,2200,1700,2200,1700,2300,1700,2300,1700,2200,https://twitter.com/vibratojazz,https://www.facebook.com/vibratogrilljazz,Verified,Restaurants,4.30
Dubai Hookah Lounge,2765 E Broadway,Long Beach,CA,90803,Los Angeles,,Not Available,,,581255,,,,,,,,,,,,,,,,Verified,Sightseeing,4.96
